,design,nr,ntheta,nx,panels,A,B
249,"design_4.166666666666666,19.166666666666664",7,40,30,880,131581.92452531145,10270.187746516563
250,"design_4.166666666666666,19.166666666666664",12,20,10,340,135079.92346246637,10813.397923864299
251,"design_4.166666666666666,19.166666666666664",12,20,15,400,132586.27368540195,10393.564606996057
252,"design_4.166666666666666,19.166666666666664",12,20,20,440,131132.21247729068,10149.505711640353
253,"design_4.166666666666666,19.166666666666664",12,20,25,500,130177.65512845958,9993.993792917097
254,"design_4.166666666666666,19.166666666666664",12,20,30,540,129476.88290473277,9880.541140017833
255,"design_4.166666666666666,19.166666666666664",12,25,10,425,136305.70018116193,11057.824154383243
256,"design_4.166666666666666,19.166666666666664",12,25,15,500,133817.8436851357,10634.824633258278
257,"design_4.166666666666666,19.166666666666664",12,25,20,550,132364.4939087863,10388.049430341729
258,"design_4.166666666666666,19.166666666666664",12,25,25,625,131411.43898467143,10233.030291095078
259,"design_4.166666666666666,19.166666666666664",12,25,30,675,130710.36777272145,10119.50235567837
260,"design_4.166666666666666,19.166666666666664",12,30,10,510,136993.96882456282,11206.375696650466
261,"design_4.166666666666666,19.166666666666664",12,30,15,600,134516.7623365702,10783.291549636238
262,"design_4.166666666666666,19.166666666666664",12,30,20,660,133069.23652888247,10537.290580001192
263,"design_4.166666666666666,19.166666666666664",12,30,25,750,132116.9129322761,10381.516462871221
264,"design_4.166666666666666,19.166666666666664",12,30,30,810,131415.70919453978,10267.24855349987
265,"design_4.166666666666666,19.166666666666664",12,35,10,595,137424.14561009003,11307.12158251383
266,"design_4.166666666666666,19.166666666666664",12,35,15,700,134957.4102305985,10884.073923991884
267,"design_4.166666666666666,19.166666666666664",12,35,20,770,133514.34342448297,10638.001928681837
268,"design_4.166666666666666,19.166666666666664",12,35,25,875,132562.7453978128,10481.352599838778
269,"design_4.166666666666666,19.166666666666664",12,35,30,945,131863.4006079782,10367.79961941666
270,"design_4.166666666666666,19.166666666666664",12,40,10,680,137713.37585720205,11379.13417975466
271,"design_4.166666666666666,19.166666666666664",12,40,15,800,135256.92941213932,10957.357624380416
272,"design_4.166666666666666,19.166666666666664",12,40,20,880,133815.9809537057,10709.784972956977
273,"design_4.166666666666666,19.166666666666664",12,40,25,1000,132867.35290459002,10554.017087431503
274,"design_4.166666666666666,19.166666666666664",12,40,30,1080,132169.0581110651,10440.789012935616
275,"design_4.166666666666666,19.166666666666664",17,20,10,440,135205.69417766016,10855.51780076106
276,"design_4.166666666666666,19.166666666666664",17,20,15,500,132781.47604700245,10449.611278538994
277,"design_4.166666666666666,19.166666666666664",17,20,20,540,131381.59577206473,10215.403364597332
278,"design_4.166666666666666,19.166666666666664",17,20,25,600,130468.4767469065,10067.475396980342
279,"design_4.166666666666666,19.166666666666664",17,20,30,640,129799.8050906327,9959.2539014507
280,"design_4.166666666666666,19.166666666666664",17,25,10,550,136431.62437525927,11100.016260417668
281,"design_4.166666666666666,19.166666666666664",17,25,15,625,134012.64199701542,10690.426606042656
282,"design_4.166666666666666,19.166666666666664",17,25,20,675,132612.80271990033,10453.681780673858
283,"design_4.166666666666666,19.166666666666664",17,25,25,750,131702.9693884956,10306.701427926984
284,"design_4.166666666666666,19.166666666666664",17,25,30,800,131033.89297811607,10198.565630735835
285,"design_4.166666666666666,19.166666666666664",17,30,10,660,137120.17664030814,11249.228354371502
286,"design_4.166666666666666,19.166666666666664",17,30,15,750,134714.37097258898,10840.481174571558
287,"design_4.166666666666666,19.166666666666664",17,30,20,810,133319.31822048707,10604.004206191416
288,"design_4.166666666666666,19.166666666666664",17,30,25,900,132408.5853424556,10455.37384959581
289,"design_4.166666666666666,19.166666666666664",17,30,30,960,131738.24380472465,10346.218092430232
290,"design_4.166666666666666,19.166666666666664",17,35,10,770,137552.97583211857,11351.401751234727
291,"design_4.166666666666666,19.166666666666664",17,35,15,875,135153.1235798582,10940.495609918267
292,"design_4.166666666666666,19.166666666666664",17,35,20,945,133764.81246460034,10704.800942702102
293,"design_4.166666666666666,19.166666666666664",17,35,25,1050,132854.77305507753,10555.468213636565
294,"design_4.166666666666666,19.166666666666664",17,35,30,1120,132188.88080628082,10447.861427059608
295,"design_4.166666666666666,19.166666666666664",17,40,10,880,137841.31720749257,11422.959594716578
296,"design_4.166666666666666,19.166666666666664",17,40,15,1000,135452.15378769682,11013.523577641774
297,"design_4.166666666666666,19.166666666666664",17,40,20,1080,134066.98170386598,10776.820609189645
298,"design_4.166666666666666,19.166666666666664",17,40,25,1200,133160.25664194836,10628.428315793904
299,"design_4.166666666666666,19.166666666666664",17,40,30,1280,132493.54300938355,10519.967006339915
300,"design_5.722222222222221,14.166666666666668",2,20,10,140,319967.81969394605,45672.908371202866
301,"design_5.722222222222221,14.166666666666668",2,20,15,200,315175.7920462093,44070.429866079714
302,"design_5.722222222222221,14.166666666666668",2,20,20,240,312718.3871972966,43263.21251806087
303,"design_5.722222222222221,14.166666666666668",2,20,25,300,311236.11359152413,42766.06394472647
304,"design_5.722222222222221,14.166666666666668",2,20,30,340,310244.054736107,42438.20745171403
305,"design_5.722222222222221,14.166666666666668",2,25,10,175,322910.63077214395,46810.87979053196
306,"design_5.722222222222221,14.166666666666668",2,25,15,250,318119.327873111,45217.2010166684
307,"design_5.722222222222221,14.166666666666668",2,25,20,300,315656.8744846405,44407.506445168634
308,"design_5.722222222222221,14.166666666666668",2,25,25,375,314164.6367160311,43905.817097584586
